名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
朝阳时代西锦 4室2厅 东 东北,花都大道,4室2厅,129.79平米,东 东北,简装,中楼层(共33层),2014年建,板塔结合,135万,"10,402元/平",1人关注,16天以前发布
蜀都惠园 3室1厅 东南,新华公园,3室1厅,90.31平米,东南,简装,高楼层(共27层),2010年建,塔楼,176万,"19,489元/平",2人关注,22天以前发布
招商依云上城一期 3室1厅 南,西河,3室1厅,95.04平米,南,精装,中楼层(共40层),2016年建,塔楼,110万,"11,575元/平",0人关注,22天以前发布
保利春天花语 3室1厅 东,大丰,3室1厅,89.87平米,东,简装,低楼层(共31层),2015年建,塔楼,128万,"14,243元/平",0人关注,22天以前发布
双华麓港 3室2厅 南,南湖,3室2厅,86.11平米,南,简装,高楼层(共18层),2009年建,塔楼,158万,"18,349元/平",4人关注,19天以前发布
东山国际新城D区 2室2厅 东南,东山,2室2厅,79.74平米,东南,毛坯,中楼层(共11层),2011年建,板塔结合,81万,"10,159元/平",0人关注,24天以前发布
金茂光明城市 3室2厅 东,华阳,3室2厅,120.01平米,东,精装,低楼层(共27层),2016年建,板塔结合,248万,"20,665元/平",0人关注,24天以前发布
世茂城三期 4室1厅 南,大面,4室1厅,136平米,南,精装,中楼层(共11层),2019年建,板塔结合,265万,"19,486元/平",3人关注,26天以前发布
洲际春天广场 3室2厅 南,光华大道沿线,3室2厅,77.09平米,南,精装,中楼层(共38层),2016年建,板塔结合,119万,"15,437元/平",2人关注,28天以前发布
南城都汇汇翠园一期 3室2厅 南 北,市一医院,3室2厅,126.03平米,南 北,简装,中楼层(共16层),2009年建,板塔结合,342万,"27,137元/平",1人关注,22天以前发布
北大资源颐和翡翠府 4室2厅 西,远大,4室2厅,135.92平米,西,精装,中楼层(共32层),2017年建,板塔结合,380万,"27,958元/平",55人关注,23天以前发布
天悦城 3室2厅 北,五块石,3室2厅,89.11平米,北,精装,中楼层(共33层),2016年建,塔楼,179万,"20,088元/平",3人关注,26天以前发布
翡翠城四期 3室2厅 西南,东湖,3室2厅,87.99平米,西南,精装,低楼层(共31层),2009年建,塔楼,240万,"27,276元/平",6人关注,28天以前发布
红枫岭二期 3室2厅 东南,东郊记忆,3室2厅,112.05平米,东南,精装,中楼层(共33层),2009年建,板塔结合,195万,"17,403元/平",4人关注,17天以前发布
国际花园 2室1厅 东南,衣冠庙,2室1厅,67.28平米,东南,精装,中楼层(共15层),2005年建,板塔结合,123万,"18,282元/平",0人关注,21天以前发布
置信丽都花园城C区 3室2厅 东南,新双楠,3室2厅,139.74平米,东南,精装,中楼层(共13层),2006年建,板塔结合,260万,"18,606元/平",5人关注,30天以前发布
首开龙湖天璞 3室2厅 东南,三圣乡,3室2厅,114.73平米,东南,精装,高楼层(共32层),2019年建,板塔结合,335万,"29,199元/平",0人关注,23天以前发布
